replay_dir,rank_group,rank_number,batch_dir,within_rank_position,combo_name,mAP1-5,mAP1,mAP2,mAP3,mAP4,mAP5,runtime_fps,average_latency_ms
replay_20260319_204802,rank_10,10,batch_20260320_062108,10,obj26s_fp16_pose26n_fp16,0.497284,0.440909,0.445513,0.533333,0.533333,0.533333,6.988,140.6192
replay_20260319_204802,rank_11,11,batch_20260320_072433,1,obj26m_p80_fp16_pose26n_p80_fp16,0.679245,0.419677,0.713536,0.750957,0.750957,0.761101,6.5244,150.6688
replay_20260319_204802,rank_11,11,batch_20260320_072433,2,obj26l_fp16_pose26n_kd_p80_int8,0.646754,0.392279,0.598967,0.699853,0.771335,0.771335,5.7442,171.3387
replay_20260319_204802,rank_11,11,batch_20260320_072433,3,obj26l_fp16_pose26n_fp16,0.626975,0.503764,0.635556,0.635556,0.68,0.68,5.5625,176.4999
replay_20260319_204802,rank_11,11,batch_20260320_072433,4,obj26m_p80_fp16_pose26n_fp16,0.579960,0.474693,0.575519,0.575519,0.611747,0.662319,6.2742,156.7889
replay_20260319_204802,rank_11,11,batch_20260320_072433,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.573290,0.421296,0.519091,0.602121,0.66197,0.66197,6.4399,152.7088
replay_20260319_204802,rank_11,11,batch_20260320_072433,6,obj26s_baseline_pose26n_kd_p80_int8,0.563900,0.462092,0.557407,0.6,0.6,0.6,6.2065,158.4655
replay_20260319_204802,rank_11,11,batch_20260320_072433,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.544761,0.433519,0.522656,0.53576,0.615936,0.615936,5.7381,171.6404
replay_20260319_204802,rank_11,11,batch_20260320_072433,8,obj26s_baseline_pose26n_fp16,0.530462,0.474332,0.477979,0.566667,0.566667,0.566667,5.9471,165.4778
replay_20260319_204802,rank_11,11,batch_20260320_072433,9,obj26m_p80_fp16_pose26n_kd_p80_int8,0.519854,0.369144,0.502221,0.529494,0.584594,0.613815,6.4782,151.7181
replay_20260319_204802,rank_11,11,batch_20260320_072433,10,obj26s_baseline_pose26n_kd26x_p80_fp16,0.496793,0.440909,0.443056,0.533333,0.533333,0.533333,6.1335,160.4337
replay_20260319_204802,rank_12,12,batch_20260320_082806,1,obj26m_p80_fp16_pose26n_p80_fp16,0.682966,0.431636,0.699359,0.74325,0.74325,0.797333,6.4834,151.6473
replay_20260319_204802,rank_12,12,batch_20260320_082806,2,obj26l_fp16_pose26n_fp16,0.625231,0.495046,0.635556,0.635556,0.68,0.68,5.5572,176.6352
replay_20260319_204802,rank_12,12,batch_20260320_082806,3,obj26l_fp16_pose26n_kd_p80_int8,0.618104,0.352504,0.563795,0.700605,0.736807,0.736807,5.7507,171.1364
replay_20260319_204802,rank_12,12,batch_20260320_082806,4,obj26m_p80_fp16_pose26n_fp16,0.576665,0.470185,0.57155,0.57155,0.609388,0.660652,6.2899,156.3837
replay_20260319_204802,rank_12,12,batch_20260320_082806,5,obj26s_baseline_pose26n_kd_p80_int8,0.559972,0.440598,0.559259,0.6,0.6,0.6,6.2062,158.4957
replay_20260319_204802,rank_12,12,batch_20260320_082806,6,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.557352,0.369077,0.507723,0.595183,0.65739,0.65739,6.4915,151.4673
replay_20260319_204802,rank_12,12,batch_20260320_082806,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.548151,0.437734,0.528333,0.539167,0.617761,0.617761,5.7451,171.4131
replay_20260319_204802,rank_12,12,batch_20260320_082806,8,obj26s_baseline_pose26n_fp16,0.532278,0.478758,0.482633,0.566667,0.566667,0.566667,5.9624,165.0875
replay_20260319_204802,rank_12,12,batch_20260320_082806,9,obj26s_fp16_pose26n_fp16,0.497284,0.440909,0.445513,0.533333,0.533333,0.533333,6.9498,141.3197
replay_20260319_204802,rank_12,12,batch_20260320_082806,10,obj26s_baseline_pose26n_kd26x_p80_fp16,0.496793,0.440909,0.443056,0.533333,0.533333,0.533333,6.103,161.2507
replay_20260319_204802,rank_13,13,batch_20260320_093139,1,obj26m_p80_fp16_pose26n_p80_fp16,0.675574,0.415425,0.708746,0.747697,0.747697,0.758303,6.5153,150.8814
replay_20260319_204802,rank_13,13,batch_20260320_093139,2,obj26l_fp16_pose26n_kd_p80_int8,0.648336,0.392279,0.601322,0.701705,0.773187,0.773187,5.7546,171.0008
replay_20260319_204802,rank_13,13,batch_20260320_093139,3,obj26l_fp16_pose26n_fp16,0.630082,0.510409,0.632222,0.637778,0.685,0.685,5.5524,176.8449
replay_20260319_204802,rank_13,13,batch_20260320_093139,4,obj26m_p80_fp16_pose26n_fp16,0.579960,0.474693,0.575519,0.575519,0.611747,0.662319,6.2295,157.9071
replay_20260319_204802,rank_13,13,batch_20260320_093139,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.564956,0.407575,0.507723,0.594704,0.65739,0.65739,6.4507,152.4373
replay_20260319_204802,rank_13,13,batch_20260320_093139,6,obj26s_baseline_pose26n_kd_p80_int8,0.563900,0.462092,0.557407,0.6,0.6,0.6,6.196,158.7489
replay_20260319_204802,rank_13,13,batch_20260320_093139,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.544761,0.433519,0.522656,0.53576,0.615936,0.615936,5.7512,171.1987
replay_20260319_204802,rank_13,13,batch_20260320_093139,8,obj26s_baseline_pose26n_kd26x_p80_fp16,0.530792,0.47598,0.477979,0.566667,0.566667,0.566667,6.1014,161.2823
replay_20260319_204802,rank_13,13,batch_20260320_093139,9,obj26m_p80_fp16_pose26n_kd_p80_int8,0.517387,0.359711,0.498599,0.527171,0.58549,0.615966,6.4679,152.0012
replay_20260319_204802,rank_13,13,batch_20260320_093139,10,obj26s_baseline_pose26n_fp16,0.499231,0.448077,0.448077,0.533333,0.533333,0.533333,5.9339,165.8382
replay_20260319_204802,rank_14,14,batch_20260320_103519,1,obj26m_p80_fp16_pose26n_p80_fp16,0.695733,0.41735,0.73412,0.771037,0.771037,0.785122,6.4623,152.1577
replay_20260319_204802,rank_14,14,batch_20260320_103519,2,obj26l_fp16_pose26n_fp16,0.637234,0.468039,0.628477,0.654688,0.698553,0.736415,5.5264,177.6958
replay_20260319_204802,rank_14,14,batch_20260320_103519,3,obj26l_fp16_pose26n_kd_p80_int8,0.621274,0.377359,0.556688,0.702166,0.735079,0.735079,5.7354,171.5853
replay_20260319_204802,rank_14,14,batch_20260320_103519,4,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.583740,0.362396,0.527203,0.620617,0.688018,0.720468,6.4303,152.9148
replay_20260319_204802,rank_14,14,batch_20260320_103519,5,obj26s_baseline_pose26n_kd_p80_int8,0.574060,0.427193,0.543108,0.633333,0.633333,0.633333,6.1988,158.6961
replay_20260319_204802,rank_14,14,batch_20260320_103519,6,obj26m_p80_fp16_pose26n_fp16,0.538163,0.382895,0.537161,0.537161,0.574744,0.658852,6.228,157.9669
replay_20260319_204802,rank_14,14,batch_20260320_103519,7,obj26s_baseline_pose26n_fp16,0.533053,0.482633,0.482633,0.566667,0.566667,0.566667,5.9506,165.3746
replay_20260319_204802,rank_14,14,batch_20260320_103519,8,obj26l_fp16_pose26n_kd26x_p80_fp16,0.509386,0.395615,0.486832,0.500874,0.581804,0.581804,5.7031,172.6661
replay_20260319_204802,rank_14,14,batch_20260320_103519,9,obj26s_fp16_pose26n_fp16,0.498205,0.445513,0.445513,0.533333,0.533333,0.533333,6.9311,141.7518
replay_20260319_204802,rank_14,14,batch_20260320_103519,10,obj26s_baseline_pose26n_kd26x_p80_fp16,0.496793,0.440909,0.443056,0.533333,0.533333,0.533333,6.0978,161.3846
replay_20260319_204802,rank_15,15,batch_20260320_113903,1,obj26m_p80_fp16_pose26n_p80_fp16,0.708956,0.462336,0.692096,0.782407,0.782407,0.825531,6.4324,152.8452
replay_20260319_204802,rank_15,15,batch_20260320_113903,2,obj26l_fp16_pose26n_fp16,0.648814,0.503275,0.642063,0.670286,0.714222,0.714222,5.537,177.376
replay_20260319_204802,rank_15,15,batch_20260320_113903,3,obj26l_fp16_pose26n_kd_p80_int8,0.621274,0.377359,0.556688,0.702166,0.735079,0.735079,5.7853,170.1079
replay_20260319_204802,rank_15,15,batch_20260320_113903,4,obj26s_baseline_pose26n_kd_p80_int8,0.574060,0.427193,0.543108,0.633333,0.633333,0.633333,6.1924,158.8825
replay_20260319_204802,rank_15,15,batch_20260320_113903,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.566518,0.399694,0.499766,0.588753,0.65597,0.688406,6.475,151.8774
replay_20260319_204802,rank_15,15,batch_20260320_113903,6,obj26s_baseline_pose26n_fp16,0.533053,0.482633,0.482633,0.566667,0.566667,0.566667,5.9553,165.2684
replay_20260319_204802,rank_15,15,batch_20260320_113903,7,obj26l_fp16_pose26n_kd26x_p80_fp16,0.532484,0.434726,0.525818,0.53742,0.582227,0.582227,5.7189,172.189
replay_20260319_204802,rank_15,15,batch_20260320_113903,8,obj26s_baseline_pose26n_kd26x_p80_fp16,0.531860,0.478758,0.480543,0.566667,0.566667,0.566667,6.1155,160.8945
